class_name,slo_value,availability,scenario
silver,90.0,99.97025580011898,simulation
silver,90.0,99.97056226081835,simulation
silver,90.0,99.97117324877486,simulation
bronze,50.0,99.97189432265316,simulation
bronze,50.0,99.97154240182128,simulation
gold,100.0,99.97038791827065,simulation
silver,90.0,99.9707516817783,simulation
silver,90.0,99.97010463378176,simulation
silver,90.0,99.97121473805412,simulation
silver,90.0,99.97177533163986,simulation
silver,90.0,99.97191800056164,simulation
bronze,50.0,99.97167138810198,simulation
bronze,50.0,99.97208263539922,simulation
bronze,50.0,99.97135491263248,simulation
bronze,50.0,99.97148560022812,simulation
gold,100.0,99.9707858603564,simulation
gold,100.0,99.9713384924047,simulation
gold,100.0,99.97185477061636,simulation
gold,100.0,99.97072599531616,simulation
silver,90.0,99.97053624042428,simulation
silver,90.0,99.97201231458158,simulation
silver,90.0,99.97155049786628,simulation
silver,90.0,99.97046662728884,simulation
bronze,50.0,99.97171145685996,simulation
bronze,50.0,99.972191323693,simulation
silver,90.0,99.97108991037872,simulation
silver,90.0,99.97163925127624,simulation
silver,90.0,99.97180716098111,simulation
silver,90.0,99.97111496244943,simulation
silver,90.0,99.97012249775918,simulation
silver,90.0,99.97027348394768,simulation
silver,90.0,99.97137950772752,simulation
silver,90.0,99.97150997150996,simulation
bronze,50.0,99.97209042701648,simulation
bronze,50.0,99.9719495091164,simulation
bronze,50.0,0.0,simulation
bronze,50.0,6.23955431754874,simulation
bronze,50.0,6.05299860529986,simulation
bronze,50.0,6.478637252164201,simulation
bronze,50.0,5.390230207748449,simulation
bronze,50.0,5.29428330047873,simulation
bronze,50.0,4.95774647887323,simulation
bronze,50.0,4.07239819004524,simulation
bronze,50.0,3.73831775700934,simulation
bronze,50.0,3.8340486409155896,simulation
bronze,50.0,4.00801603206412,simulation
bronze,50.0,3.70796205806266,simulation
bronze,50.0,2.64519838987924,simulation
bronze,50.0,1.9919168591224,simulation
bronze,50.0,1.44927536231884,simulation
bronze,50.0,1.59466512032473,simulation
bronze,50.0,1.71113689095127,simulation
bronze,50.0,2.93093441671503,simulation
bronze,50.0,1.82926829268292,simulation
bronze,50.0,2.06515415939499,simulation
bronze,50.0,2.0948501600232703,simulation
bronze,50.0,1.42732304107194,simulation
bronze,50.0,2.4766899766899697,simulation
bronze,50.0,1.51647710702828,simulation
bronze,50.0,1.02159953298307,simulation
bronze,50.0,0.84671532846715,simulation
bronze,50.0,1.72464191756796,simulation
bronze,50.0,1.37426900584795,simulation
bronze,50.0,1.28843338213762,simulation
bronze,50.0,1.55425219941348,simulation
bronze,50.0,1.32003520093869,simulation
bronze,50.0,0.8810572687224599,simulation
bronze,50.0,0.11761246692149,simulation
bronze,50.0,0.0,simulation
bronze,50.0,0.0,simulation
bronze,50.0,0.0,simulation
bronze,50.0,0.0,simulation
bronze,50.0,0.0,simulation
bronze,50.0,0.0,simulation
bronze,50.0,0.0,simulation
bronze,50.0,0.0,simulation
bronze,50.0,0.0,simulation
bronze,50.0,0.0,simulation
bronze,50.0,0.0,simulation
bronze,50.0,0.0,simulation
bronze,50.0,0.0,simulation
bronze,50.0,0.0,simulation
bronze,50.0,0.0,simulation
bronze,50.0,0.0,simulation
bronze,50.0,0.0,simulation
bronze,50.0,0.0,simulation
bronze,50.0,0.0,simulation
bronze,50.0,0.0,simulation
bronze,50.0,0.0,simulation
bronze,50.0,0.0,simulation
bronze,50.0,0.0,simulation
bronze,50.0,100.0,simulation
